Council,Period,Benchmark,Measurement_Tools,Time_Period,Side,Policy_Sector,Issues,bmpType,BMP,Description,Goals,Immediate,Short Term Actions,Long Term Actions,Permittee_Category,Responsible_Parties,parties_typology,statefed_not,Funder,Plan,,,,,,,,,
ALT,2,,,,Demand,Agriculture,Help improve surface water flow in gap areas during low flow conditions,ASWS,ASWS-1. Incentives for sustainable groundwater development,"Future and existing agricultural surface water uses - Using collaboration and incentive based program(s), encourage additional groundwater development as preferred source of supply for future demand where feasible and within the estimated sustainable yield of the resource. Identify the need for, and feasibility of, incentive-based seasonal surface water permit conditions to address 7Q10 low flow conditions. ","2,4,6,9","Develop strategy
and work with
potential
participants/
impacted users to
increase support for
and implementation
of strategy","Encourage groundwater development as preferred source of supply Identify the need for, and feasibility of, incentive based seasonal surface water permit conditions to address 7Q10 low flow conditions (by 01/2020)",NA,Agricultural Surface/Groundwater Withdrawal,epd,state government,statefed,state incentive programs,http://www.altamahacouncil.org/documents/ALT_Adopted_RWP.pdf,,,,,,,,,
ALT,2,,,,Demand,Agriculture,Help improve surface water flow in gap areas during low flow conditions,ASWS,ASWS-1. Incentives for sustainable groundwater development,"Future and existing agricultural surface water uses - Using collaboration and incentive based program(s), encourage additional groundwater development as preferred source of supply for future demand where feasible and within the estimated sustainable yield of the resource. Identify the need for, and feasibility of, incentive-based seasonal surface water permit conditions to address 7Q10 low flow conditions. ","2,4,6,9","Develop strategy
and work with
potential
participants/
impacted users to
increase support for
and implementation
of strategy","Encourage groundwater development as preferred source of supply Identify the need for, and feasibility of, incentive based seasonal surface water permit conditions to address 7Q10 low flow conditions (by 01/2020)",NA,Agricultural Surface/Groundwater Withdrawal,users,state government,statefed,state incentive programs,http://www.altamahacouncil.org/documents/ALT_Adopted_RWP.pdf,,,,,,,,,
ALT,2,,,,Demand,Agriculture,Help improve surface water flow in gap areas during low flow conditions,ASWS,ASWS-1. Incentives for sustainable groundwater development,"Future and existing agricultural surface water uses - Using collaboration and incentive based program(s), encourage additional groundwater development as preferred source of supply for future demand where feasible and within the estimated sustainable yield of the resource. Identify the need for, and feasibility of, incentive-based seasonal surface water permit conditions to address 7Q10 low flow conditions. ","2,4,6,9","Develop strategy
and work with
potential
participants/
impacted users to
increase support for
and implementation
of strategy","Encourage groundwater development as preferred source of supply Identify the need for, and feasibility of, incentive based seasonal surface water permit conditions to address 7Q10 low flow conditions (by 01/2020)",NA,Agricultural Surface/Groundwater Withdrawal,gswcc,state government,statefed,state incentive programs,http://www.altamahacouncil.org/documents/ALT_Adopted_RWP.pdf,,,,,,,,,
ALT,1,#NAME?,"Status report from stakeholder group; Report on usage of process and the number
of permits issued with conditions",1-2 years 2-4 years,Supply,Agriculture,Help ensure that future surface water use does not contribute to frequency and severity of low flow conditions within the Local Drainage Areas that contribute flow to gap areas,ASWS,ASWS-1 Consider Low Flow Conditions in Future Surface Water Permitting,"Future surface water uses - If surface water (ponds and withdrawals) is sought for future water supply in gap areas (new permits), the Applicant, GSWCC, and EPD should work collaboratively to promote surface water use patterns that will not significantly contribute to frequency or magnitude of 7Q10 low flow conditions","2, 6, 9,","EPD to develop Data
Needs and
Guidance for
Analysis
Requirements
Applicants to submit
analysis from 2010-
2015","GSWCC to collaborate with EPD, Georgia DOA, and current/future surface water users to develop application process and data needs to streamline application and review process (by 01/2015",Determine if expedited or revised permitting process is warranted to allow for use of the resource and protection of critical low flows,Agricultural Surface Withdrawal,epd,state government,statefed,State incentive programs; utilities,http://www.altamahacouncil.org/documents/ALT_Adopted_RWP.pdf,,,,,,,,,
ALT,1,#NAME?,"Status report from stakeholder group; Report on usage of process and the number
of permits issued with conditions",1-2 years 2-4 years,Supply,Agriculture,Help ensure that future surface water use does not contribute to frequency and severity of low flow conditions within the Local Drainage Areas that contribute flow to gap areas,ASWS,ASWS-1 Consider Low Flow Conditions in Future Surface Water Permitting,"Future surface water uses - If surface water (ponds and withdrawals) is sought for future water supply in gap areas (new permits), the Applicant, GSWCC, and EPD should work collaboratively to promote surface water use patterns that will not significantly contribute to frequency or magnitude of 7Q10 low flow conditions","2, 6, 9,","EPD to develop Data
Needs and
Guidance for
Analysis
Requirements
Applicants to submit
analysis from 2010-
2015","GSWCC to collaborate with EPD, Georgia DOA, and current/future surface water users to develop application process and data needs to streamline application and review process (by 01/2015",Determine if expedited or revised permitting process is warranted to allow for use of the resource and protection of critical low flows,Agricultural Surface Withdrawal,georgia doa,state government,statefed,State incentive programs; utilities,http://www.altamahacouncil.org/documents/ALT_Adopted_RWP.pdf,,,,,,,,,
ALT,1,#NAME?,"Status report from stakeholder group; Report on usage of process and the number
of permits issued with conditions",1-2 years 2-4 years,Supply,Agriculture,Help ensure that future surface water use does not contribute to frequency and severity of low flow conditions within the Local Drainage Areas that contribute flow to gap areas,ASWS,ASWS-1 Consider Low Flow Conditions in Future Surface Water Permitting,"Future surface water uses - If surface water (ponds and withdrawals) is sought for future water supply in gap areas (new permits), the Applicant, GSWCC, and EPD should work collaboratively to promote surface water use patterns that will not significantly contribute to frequency or magnitude of 7Q10 low flow conditions","2, 6, 9,","EPD to develop Data
Needs and
Guidance for
Analysis
Requirements
Applicants to submit
analysis from 2010-
2015","GSWCC to collaborate with EPD, Georgia DOA, and current/future surface water users to develop application process and data needs to streamline application and review process (by 01/2015",Determine if expedited or revised permitting process is warranted to allow for use of the resource and protection of critical low flows,Agricultural Surface Withdrawal,gswcc,state government,statefed,State incentive programs; utilities,http://www.altamahacouncil.org/documents/ALT_Adopted_RWP.pdf,,,,,,,,,
ALT,1,#NAME?,"Status report from stakeholder group; Report on usage of process and the number
of permits issued with conditions",1-2 years 2-4 years,Supply,Agriculture,Help ensure that future surface water use does not contribute to frequency and severity of low flow conditions within the Local Drainage Areas that contribute flow to gap areas,ASWS,ASWS-1 Consider Low Flow Conditions in Future Surface Water Permitting,"Future surface water uses - If surface water (ponds and withdrawals) is sought for future water supply in gap areas (new permits), the Applicant, GSWCC, and EPD should work collaboratively to promote surface water use patterns that will not significantly contribute to frequency or magnitude of 7Q10 low flow conditions","2, 6, 9,","EPD to develop Data
Needs and
Guidance for
Analysis
Requirements
Applicants to submit
analysis from 2010-
2015","GSWCC to collaborate with EPD, Georgia DOA, and current/future surface water users to develop application process and data needs to streamline application and review process (by 01/2015",Determine if expedited or revised permitting process is warranted to allow for use of the resource and protection of critical low flows,Agricultural Surface Withdrawal,agricultural surface water users,users,other,State incentive programs; utilities,http://www.altamahacouncil.org/documents/ALT_Adopted_RWP.pdf,,,,,,,,,
ALT,2,,,,Demand,Agriculture,Help improve surface water flow in gap areas during low flow conditions,ASWS,ASWS-1. Incentives for sustainable groundwater development,"Future and existing agricultural surface water uses - Using collaboration and incentive based program(s), encourage additional groundwater development as preferred source of supply for future demand where feasible and within the estimated sustainable yield of the resource. Identify the need for, and feasibility of, incentive-based seasonal surface water permit conditions to address 7Q10 low flow conditions. ","2,4,6,9","Develop strategy
and work with
potential
participants/
impacted users to
increase support for
and implementation
of strategy","Encourage groundwater development as preferred source of supply Identify the need for, and feasibility of, incentive based seasonal surface water permit conditions to address 7Q10 low flow conditions (by 01/2020)",NA,Agricultural Surface/Groundwater Withdrawal,agricultural surface water users,users,other,state incentive programs,http://www.altamahacouncil.org/documents/ALT_Adopted_RWP.pdf,,,,,,,,,
ALT,2,,,,Demand,,,ASWS,ASWS-2. Incentive-based land use practices to help promote infiltration and aquifer recharge,Incentive-based land use practices to help promote infiltration and aquifer recharge,"1,9,12","Incentive-based
practices to promote
infiltration and
aquifer recharge",Determine effectiveness and feasibility of implementing practice (by 01/2020),"If deemed effective and feasible, implement practice based on status of gap closure (by 01/2030)",City and County Land Use,epd,state government,statefed,state incentive programs,http://www.altamahacouncil.org/documents/ALT_Adopted_RWP.pdf,,,,,,,,,
ALT,2,,,,Demand,,,ASWS,ASWS-2. Incentive-based land use practices to help promote infiltration and aquifer recharge,Incentive-based land use practices to help promote infiltration and aquifer recharge,"1,9,12","Incentive-based
practices to promote
infiltration and
aquifer recharge",Determine effectiveness and feasibility of implementing practice (by 01/2020),"If deemed effective and feasible, implement practice based on status of gap closure (by 01/2030)",City and County Land Use,municipalities,local government,other,state incentive programs,http://www.altamahacouncil.org/documents/ALT_Adopted_RWP.pdf,,,,,,,,,
