"","sid","tid","token","lemma","xpos","Council","Period","BMP","term"
"1",1,3,"collaborate","collaborate","VB","ALT",1,"ASWS-1 Consider Low Flow Conditions in Future Surface Water Permitting","short-term"
"2",1,18,"develop","develop","VB","ALT",1,"ASWS-1 Consider Low Flow Conditions in Future Surface Water Permitting","short-term"
"3",1,25,"streamline","streamline","VB","ALT",1,"ASWS-1 Consider Low Flow Conditions in Future Surface Water Permitting","short-term"
"4",1,1,"Based","base","VBN","ALT",1,"ASWS-10 Inter-Basin Transfers","short-term"
"5",1,8,"consider","consider","VB","ALT",1,"ASWS-10 Inter-Basin Transfers","short-term"
"6",1,1,"Examine","examine","VB","ALT",1,"ASWS-2 Incentives for Dry-Year Releases from Ponds","short-term"
"7",1,4,"modify","modify","VB","ALT",1,"ASWS-2 Incentives for Dry-Year Releases from Ponds","short-term"
"8",1,11,"obtain","obtain","VB","ALT",1,"ASWS-2 Incentives for Dry-Year Releases from Ponds","short-term"
"9",1,1,"Encourage","encourage","VB","ALT",1,"ASWS-3 Incentives for Sustainable Groundwater Development","short-term"
"10",1,5,"preferred","prefer","VBN","ALT",1,"ASWS-3 Incentives for Sustainable Groundwater Development","short-term"
"11",1,9,"Identify","identify","VB","ALT",1,"ASWS-3 Incentives for Sustainable Groundwater Development","short-term"
"12",1,19,"based","base","VBN","ALT",1,"ASWS-3 Incentives for Sustainable Groundwater Development","short-term"
"13",1,26,"address","address","VB","ALT",1,"ASWS-3 Incentives for Sustainable Groundwater Development","short-term"
"14",1,1,"Evaluate","evaluate","VB","ALT",1,"ASWS-4 Monitor Gap Closure and Manage Adaptively","short-term"
"15",1,7,"manage","manage","VB","ALT",1,"ASWS-4 Monitor Gap Closure and Manage Adaptively","short-term"
"16",1,13,"address","address","VB","ALT",1,"ASWS-4 Monitor Gap Closure and Manage Adaptively","short-term"
"17",1,1,"Determine","determine","VB","ALT",1,"ASWS-5 Restoration Incentive Programs","short-term"
"18",1,6,"restoring","restore","VBG","ALT",1,"ASWS-5 Restoration Incentive Programs","short-term"
"19",1,1,"Determine","determine","VB","ALT",1,"ASWS-6 Land Management Incentives","short-term"
"20",1,6,"implementing","implement","VBG","ALT",1,"ASWS-6 Land Management Incentives","short-term"
"21",1,1,"Implement","implement","VB","ALT",1,"ASWS-8 Address Gaps Periods with Aquifer Storage","short-term"
"22",1,6,"determines","determine","VBZ","ALT",1,"ASWS-8 Address Gaps Periods with Aquifer Storage","short-term"
"23",1,8,"is","be","VBZ","ALT",1,"ASWS-8 Address Gaps Periods with Aquifer Storage","short-term"
"24",1,21,"are","be","VBP","ALT",1,"ASWS-8 Address Gaps Periods with Aquifer Storage","short-term"
"25",1,22,"approved","approve","VBN","ALT",1,"ASWS-8 Address Gaps Periods with Aquifer Storage","short-term"
"26",1,1,"Based","base","VBN","ALT",1,"ASWS-9 Study MultiRegion Reservoir Feasibility","short-term"
"27",1,8,"consider","consider","VB","ALT",1,"ASWS-9 Study MultiRegion Reservoir Feasibility","short-term"
"28",1,1,"Incorporate","incorporate","VB","ALT",1,"DCAR-2 Source of Supply Data to Refine Forecasts","short-term"
"29",1,2,"clean","clean","VB","ALT",1,"EDU-5 Clean-Up Events","short-term"
"30",1,1,"Provide","provide","VB","ALT",1,"GW-1 Sustainable Groundwater Use","short-term"
"31",1,4,"implement","implement","VB","ALT",1,"GW-1 Sustainable Groundwater Use","short-term"
"32",1,1,"Provide","provide","VB","ALT",1,"GW-2 Research Groundwater Sustainability","short-term"
"33",1,4,"implement","implement","VB","ALT",1,"GW-2 Research Groundwater Sustainability","short-term"
"34",1,1,"Encourage","encourage","VB","ALT",1,"GW-3 Promote Aquifer-Friendly Land Use","short-term"
"35",1,6,"sustain","sustain","VBP","ALT",1,"GW-3 Promote Aquifer-Friendly Land Use","short-term"
